SMILES,TITLE,TanimotoCombo,ColorTanimoto,Tanimoto
c1ccc(cc1)c2ccc(=O)n(n2)CC(=O)N3CCCCCC3,m_22bbh_57673_1056162,1.10,0.37,0.73
c1cc(ccc1C(=O)N2CCCCCC2)n3c(c(cn3)C#N)N,m_22bbh_57673_1125876,0.85,0.32,0.54
Cc1cc([nH]n1)C(=O)N2CCCCCC2,m_22bbh_57673_1125894,0.90,0.37,0.52
c1cc(c(cc1CC(=O)N2CCCCCC2)Br)F,m_22bbh_57673_1126332,1.01,0.34,0.67
CC(C)Oc1c(cc(cn1)C(=O)N2CCCCCC2)Cl,m_22bbh_57673_1126348,0.94,0.42,0.52
CC(C)(c1ccc(cc1)Cl)C(=O)N2CCCCCC2,m_22bbh_57673_1126458,1.03,0.31,0.71
c1ccc2cc(ccc2c1)CCC(=O)N3CCCCCC3,m_22bbh_57673_1126518,1.05,0.33,0.71
C1CCCN(CC1)C(=O)CCCS(=O)(=O)N2CCCC2,m_22bbh_57673_1126636,0.99,0.34,0.65
C[C@@H](C(=O)N(C)CC(=O)N1CCCCCC1)n2cccn2,m_22bbh_57673_1126648,1.03,0.35,0.68
c1c(csc1c2nc(cs2)CC(=O)N3CCCCCC3)Br,m_22bbh_57673_1127318,0.96,0.30,0.67
c1c(cc2c(c1C(=O)N3CCCCCC3)[nH]c(=S)[nH]2)F,m_22bbh_57673_1127500,0.93,0.24,0.69
CCCS(=O)(=O)Nc1ccccc1C(=O)N2CCCCCC2,m_22bbh_57673_1127860,1.07,0.26,0.81
c1ccc(cc1)OCCC(=O)N2CCC(CC2)C(=O)N3CCCCCC3,m_22bbh_57673_1127982,0.70,0.17,0.53
CN(C)c1nc2c(s1)cc(s2)C(=O)N3CCCCCC3,m_22bbh_57673_1128242,0.92,0.37,0.55
Cc1ccc(n1c2ccsc2C(=O)N3CCCCCC3)C,m_22bbh_57673_1128478,1.33,0.51,0.82
c1ccc2c(c1)c(cn2CC(=O)N3CCCCCC3)C(=O)N,m_22bbh_57673_1128738,0.89,0.28,0.61
